Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,22983794;0,67140720;121,52470000
-500,90215795;0,67140720;118,97640000
-500,57447795;0,67140720;118,35080000
-500,24679795;0,67140720;115,60410000
-499,91911795;0,67140720;113,66620000
-499,59143795;0,67140720;111,74350000
-499,26375796;0,67140720;109,94290000
-498,93607796;0,67140720;108,15760000
-498,60839796;0,67140720;106,15860000
-498,28071796;0,67140720;104,90740000
-497,95303796;0,64943390;103,47300000
-497,62535797;0,64943390;102,57270000
-497,29767797;0,64943390;100,36010000
-496,96999797;0,64943390;98,43745000
-496,64231797;0,64943390;95,95019000
-496,31463797;0,64943390;93,95123000
-495,98695798;0,64943390;92,85255000
-495,65927798;0,64943390;90,71627000
-495,33159798;0,64943390;88,03064000
-495,00391798;0,64943390;86,03167000
-494,67623798;0,64943390;83,89538000
-494,34855799;0,64943390;81,75908000
-494,02087799;0,64943390;79,76012000
-493,69319799;0,64943390;77,76115000
-493,36551799;0,64943390;75,48753000
-493,03783799;0,62746050;73,96160000
-492,71015800;0,64943390;72,31360000
-492,38247800;0,64943390;69,68901000
-492,05479800;0,64943390;67,76635000
-491,72711800;0,64943390;64,94338000
-491,39943800;0,64943390;62,86813000
-491,07175801;0,62746050;60,80812000
-490,74407801;0,62746050;57,77153000
-490,41639801;0,64943390;55,14695000
-490,08871801;0,64943390;52,87331000
-489,76103801;0,64943390;50,73702000
-489,43335802;0,64943390;48,60072000
-489,10567802;0,64943390;46,89169000
-488,77799802;0,64943390;44,95376000
-488,45031802;0,67140720;42,46650000
-488,12263802;0,67140720;41,77983000
-487,79495803;0,67140720;40,05554000
-487,46727803;0,67140720;37,78191000
-487,13959803;0,67140720;35,92028000
-486,81191803;0,64943390;33,78399000
-486,48423803;0,64943390;31,78502000
-486,15655804;0,64943390;29,51140000
-485,82887804;0,64943390;27,45140000
-485,50119804;0,64943390;25,51347000
-485,17351804;0,64943390;23,10251000
-484,84583804;0,64943390;21,37821000
-484,51815805;0,64943390;19,18088000
-484,19047805;0,67140720;18,49422000
-483,86279805;0,67140720;16,55629000
-483,53511805;0,67140720;14,49629000
-483,20743805;0,67140720;12,83303000
-482,87975806;0,67140720;10,91037000
-482,55207806;0,67140720;8,01110700
-482,22439806;0,67140720;5,53910900
-481,89671806;0,67140720;3,18918400
-481,56903806;0,67140720;1,40385100
-481,24135807;0,67140720;-0,03051851
-480,91367807;0,67140720;-1,75481400
-480,58599807;0,67140720;-3,96740600
-480,25831807;0,67140720;-5,40177600
-479,93063807;0,67140720;-7,06503400
-479,60295808;0,67140720;-8,92666300
-479,27527808;0,67140720;-10,23896000
-478,94759808;0,67140720;-12,57363000
-478,61991808;0,67140720;-14,64888000
-478,29223808;0,69277020;-17,33451000
-477,96455809;0,69277020;-19,94385000
-477,63687809;0,69277020;-22,15644000
-477,30919809;0,67140720;-23,94177000
-476,98151809;0,67140720;-26,21540000
-476,65383809;0,67140720;-29,66399000
-476,32615810;0,67140720;-31,52562000
-475,99847810;0,67140720;-33,32621000
-475,67079810;0,64943390;-34,83688000
-475,34311810;0,62746050;-36,69851000
-475,01543810;0,62746050;-39,17051000
-474,68775811;0,64943390;-41,79509000
-474,36007811;0,64943390;-43,16843000
-474,03239811;0,64943390;-44,96902000
-473,70471811;0,64943390;-46,83065000
-473,37703811;0,64943390;-49,30265000
-473,04935812;0,64943390;-51,57627000
-472,72167812;0,64943390;-54,00250000
-472,39399812;0,64943390;-55,71153000
-472,06631812;0,64943390;-58,41242000
-471,73863812;0,64943390;-60,19775000
-471,41095813;0,62746050;-61,84576000
-471,08327813;0,60548720;-63,70739000
-470,75559813;0,60548720;-64,68398000
-470,42791813;0,60548720;-66,05731000
-470,10023813;0,62746050;-67,84264000
-469,77255814;0,62746050;-69,15494000
-469,44487814;0,64943390;-71,29124000
-469,11719814;0,64943390;-73,15286000
-468,78951814;0,67140720;-74,67879000
-468,46183814;0,69277020;-77,28812000
-468,13415815;0,69277020;-79,42442000
-467,80647815;0,69277020;-81,49968000
-467,47879815;0,69277020;-83,97167000
-467,15111815;0,69277020;-87,77123000
-466,82343815;0,67140720;-90,18219000
-466,49575816;0,67140720;-92,37952000
-466,16807816;0,67140720;-94,37849000
-465,84039816;0,67140720;-96,04174000
-465,51271816;0,67140720;-97,55241000
-465,18503816;0,67140720;-98,92574000
-464,85735817;0,64943390;-100,65000000
-464,52967817;0,64943390;-101,55030000
-464,20199817;0,62746050;-103,76290000
-463,87431817;0,62746050;-106,17390000
-463,54663817;0,62746050;-108,09660000
-463,21895818;0,62746050;-110,17180000
-462,89127818;0,60548720;-112,50650000
-462,56359818;0,60548720;-114,30710000
-462,23591818;0,62746050;-116,22970000
-461,90823818;0,62746050;-118,44230000
-461,58055819;0,64943390;-120,99060000
-461,25287819;0,64943390;-122,63860000
-460,92519819;0,64943390;-124,43920000
-460,59751819;0,64943390;-127,94880000
-460,26983819;0,67140720;-129,94780000
-459,94215820;0,67140720;-132,29770000
-459,61447820;0,67140720;-133,94570000
-459,28679820;0,67140720;-135,94470000
-458,95911820;0,67140720;-138,21830000
-458,63143820;0,67140720;-140,29360000
-458,30375821;0,67140720;-142,76560000
-457,97607821;0,64943390;-145,11550000
-457,64839821;0,64943390;-146,83980000
-457,32071821;0,64943390;-148,42680000
-456,99303821;0,64943390;-149,31180000
-456,66535822;0,64943390;-150,48680000
-456,33767822;0,64943390;-152,42470000
-456,00999822;0,64943390;-153,93530000
-455,68231822;0,64943390;-155,38500000
-455,35463822;0,67140720;-157,03300000
-455,02695823;0,67140720;-158,61990000
-454,69927823;0,64943390;-160,96990000
-454,37159823;0,64943390;-163,10620000
-454,04391823;0,64943390;-164,20480000
-453,71623823;0,64943390;-165,02880000
-453,38855824;0,64943390;-166,47850000
-453,06087824;0,62746050;-168,06540000
-452,73319824;0,62746050;-169,65240000
-452,40551824;0,60548720;-171,30040000
-452,07783824;0,62746050;-172,53640000
-451,75015824;0,62746050;-172,88730000
-451,42247825;0,62746050;-174,39800000
-451,09479825;0,60548720;-175,78660000
-450,76711825;0,58412430;-177,23620000
-450,43943825;0,60548720;-178,39590000
-450,11175825;0,60548720;-179,23520000
-449,78407826;0,62746050;-180,47120000
-449,45639826;0,62746050;-182,53120000
-449,12871826;0,62746050;-183,91980000
-448,80103826;0,62746050;-185,29310000
-448,47335826;0,64943390;-186,60540000
-448,14567827;0,64943390;-187,56670000
-447,81799827;0,62746050;-188,32970000
-447,49031827;0,62746050;-188,60440000
-447,16263827;0,62746050;-189,70300000
-446,83495827;0,62746050;-190,93900000
-446,50727828;0,62746050;-191,50360000
-446,17959828;0,62746050;-192,66330000
-445,85191828;0,62746050;-194,46390000
-445,52423828;0,64943390;-195,77620000
-445,19655828;0,67140720;-197,63790000
-444,86887829;0,67140720;-198,73650000
-444,54119829;0,67140720;-200,18620000
-444,21351829;0,67140720;-201,63580000
-443,88583829;0,67140720;-202,93280000
-443,55815829;0,67140720;-205,20640000
-443,23047830;0,67140720;-205,96940000
-442,90279830;0,64943390;-206,93070000
-442,57511830;0,64943390;-208,59400000
-442,24743830;0,64943390;-209,96730000
-441,91975830;0,64943390;-210,73030000
-441,59207831;0,64943390;-211,69160000
-441,26439831;0,64943390;-212,31730000
-440,93671831;0,62746050;-213,20230000
-440,60903831;0,62746050;-212,72930000
-440,28135831;0,64943390;-212,86660000
-439,95367832;0,64943390;-213,82790000
-439,62599832;0,62746050;-213,33960000
-439,29831832;0,62746050;-214,17890000
-438,97063832;0,62746050;-214,59090000
-438,64295832;0,62746050;-215,68960000
-438,31527833;0,64943390;-216,92560000
