Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,31841045;0,62746050;186,17810000
-500,99073045;0,64943390;186,78850000
-500,66305045;0,64943390;188,78750000
-500,33537045;0,62746050;188,78750000
-500,00769045;0,64943390;189,27580000
-499,68001046;0,62746050;189,19950000
-499,35233046;0,62746050;188,92480000
-499,02465046;0,62746050;188,92480000
-498,69697046;0,62746050;188,92480000
-498,36929046;0,62746050;189,55040000
-498,04161047;0,62746050;189,33680000
-497,71393047;0,64943390;189,27580000
-497,38625047;0,64943390;188,72640000
-497,05857047;0,64943390;188,45180000
-496,73089047;0,62746050;188,37550000
-496,40321048;0,62746050;188,37550000
-496,07553048;0,62746050;189,33680000
-495,74785048;0,62746050;189,41310000
-495,42017048;0,62746050;189,13840000
-495,09249048;0,62746050;188,58910000
-494,76481049;0,62746050;189,41310000
-494,43713049;0,64943390;188,78750000
-494,10945049;0,67140720;189,76410000
-493,78177049;0,67140720;189,55040000
-493,45409049;0,67140720;189,06210000
-493,12641050;0,67140720;188,58910000
-492,79873050;0,67140720;188,23820000
-492,47105050;0,67140720;187,33790000
-492,14337050;0,67140720;186,51390000
-491,81569050;0,67140720;186,31550000
-491,48801051;0,67140720;185,27780000
-491,16033051;0,67140720;184,10290000
-490,83265051;0,64943390;184,10290000
-490,50497051;0,64943390;184,24020000
-490,17729051;0,64943390;183,69090000
-489,84961052;0,62746050;183,14160000
-489,52193052;0,62746050;183,00420000
-489,19425052;0,62746050;183,00420000
-488,86657052;0,62746050;183,82820000
-488,53889052;0,62746050;183,27890000
-488,21121053;0,64943390;183,00420000
-487,88353053;0,64943390;182,86690000
-487,55585053;0,64943390;182,37860000
-487,22817053;0,67140720;181,90560000
-486,90049053;0,67140720;181,49360000
-486,57281054;0,67140720;181,00530000
-486,24513054;0,67140720;179,41830000
-485,91745054;0,67140720;178,04500000
-485,58977054;0,67140720;176,79370000
-485,26209054;0,67140720;176,65640000
-484,93441055;0,67140720;176,24440000
-484,60673055;0,67140720;176,38170000
-484,27905055;0,67140720;175,28310000
-483,95137055;0,67140720;175,20680000
-483,62369055;0,67140720;174,24540000
-483,29601056;0,67140720;173,42140000
-482,96833056;0,67140720;172,79580000
-482,64065056;0,67140720;172,52110000
-482,31297056;0,64943390;172,04810000
-481,98529056;0,62746050;171,55980000
-481,65761057;0,62746050;171,42250000
-481,32993057;0,62746050;171,63610000
-481,00225057;0,62746050;171,14780000
-480,67457057;0,62746050;170,38480000
-480,34689057;0,62746050;170,04910000
-480,01921058;0,62746050;169,28620000
-479,69153058;0,64943390;168,66050000
-479,36385058;0,67140720;167,50080000
-479,03617058;0,67140720;167,01250000
-478,70849058;0,67140720;166,38690000
-478,38081059;0,67140720;165,70020000
-478,05313059;0,64943390;164,60160000
-477,72545059;0,64943390;165,63920000
-477,39777059;0,62746050;164,11330000
-477,07009059;0,62746050;163,83860000
-476,74241060;0,62746050;162,66370000
-476,41473060;0,60548720;161,70230000
-476,08705060;0,60548720;161,01570000
-475,75937060;0,60548720;160,46630000
-475,43169060;0,62746050;159,09300000
-475,10401061;0,62746050;158,19270000
-474,77633061;0,64943390;157,29240000
-474,44865061;0,64943390;155,91910000
-474,12097061;0,64943390;154,53050000
-473,79329061;0,67140720;153,15710000
-473,46561062;0,67140720;152,74510000
-473,13793062;0,67140720;151,02080000
-472,81025062;0,67140720;150,19680000
-472,48257062;0,67140720;149,78480000
-472,15489062;0,67140720;149,23550000
-471,82721063;0,64943390;147,84690000
-471,49953063;0,62746050;146,19890000
-471,17185063;0,62746050;145,71060000
-470,84417063;0,62746050;144,26100000
-470,51649063;0,60548720;142,75030000
-470,18881064;0,60548720;142,06370000
-469,86113064;0,60548720;140,82770000
-469,53345064;0,58412430;139,16440000
-469,20577064;0,58412430;137,92840000
-468,87809064;0,60548720;136,82970000
-468,55041065;0,60548720;136,06680000
-468,22273065;0,60548720;134,61710000
-467,89505065;0,62746050;133,38110000
-467,56737065;0,62746050;132,34350000
-467,23969065;0,62746050;131,24480000
-466,91201066;0,62746050;130,14620000
-466,58433066;0,64943390;129,16960000
-466,25665066;0,64943390;128,07090000
-465,92897066;0,64943390;126,89600000
-465,60129066;0,62746050;125,52260000
-465,27361067;0,62746050;124,62230000
-464,94593067;0,62746050;122,97430000
-464,61825067;0,62746050;121,44840000
-464,29057067;0,62746050;119,93770000
-463,96289067;0,62746050;118,35080000
-463,63521068;0,62746050;117,03850000
-463,30753068;0,62746050;115,52780000
-462,97985068;0,64943390;113,46780000
-462,65217068;0,64943390;111,94190000
-462,32449068;0,64943390;110,29390000
-461,99681069;0,64943390;108,84430000
-461,66913069;0,64943390;107,47090000
-461,34145069;0,64943390;105,39570000
-461,01377069;0,64943390;104,02230000
-460,68609069;0,64943390;102,43540000
-460,35841070;0,64943390;98,77316000
-460,03073070;0,64943390;97,39982000
-459,70305070;0,64943390;96,02648000
-459,37537070;0,64943390;94,50056000
-459,04769070;0,67140720;93,06618000
-458,72001071;0,67140720;91,20457000
-458,39233071;0,67140720;89,89227000
-458,06465071;0,67140720;87,81701000
-457,73697071;0,67140720;85,40604000
-457,40929071;0,67140720;83,75804000
-457,08161072;0,67140720;82,65938000
-456,75393072;0,67140720;79,07346000
-456,42625072;0,67140720;77,13553000
-456,09857072;0,67140720;75,35020000
-455,77089072;0,67140720;74,09894000
-455,44321073;0,67140720;72,09998000
-455,11553073;0,67140720;70,66560000
-454,78785073;0,67140720;68,72768000
-454,46017073;0,64943390;67,27805000
-454,13249073;0,64943390;66,39301000
-453,80481074;0,64943390;64,80605000
-453,47713074;0,64943390;63,41746000
-453,14945074;0,62746050;61,98309000
-452,82177074;0,62746050;60,39613000
-452,49409074;0,62746050;59,22116000
-452,16641075;0,62746050;57,98516000
-451,83873075;0,64943390;56,73391000
-451,51105075;0,64943390;55,36057000
-451,18337075;0,62746050;54,12457000
-450,85569075;0,62746050;52,67495000
-450,52801076;0,64943390;51,30161000
-450,20033076;0,64943390;49,57732000
-449,87265076;0,64943390;48,05139000
-449,54497076;0,64943390;46,40339000
-449,21729076;0,64943390;44,74013000
-448,88961077;0,64943390;42,81747000
-448,56193077;0,67140720;43,16843000
-448,23425077;0,67140720;41,44413000
-447,90657077;0,67140720;39,17051000
-447,57889077;0,67140720;36,40858000
-447,25121077;0,67140720;34,13495000
-446,92353078;0,67140720;32,27332000
-446,59585078;0,67140720;30,82369000
-446,26817078;0,67140720;28,90103000
-445,94049078;0,67140720;26,55110000
-445,61281078;0,67140720;24,55214000
-445,28513079;0,67140720;22,90414000
-444,95745079;0,67140720;20,69155000
-444,62977079;0,67140720;18,69258000
-444,30209079;0,67140720;16,49525000
-443,97441079;0,67140720;14,69466000
-443,64673080;0,67140720;13,04666000
-443,31905080;0,67140720;10,83407000
-442,99137080;0,64943390;8,97244200
-442,66369080;0,64943390;6,69881200
-442,33601080;0,64943390;4,91348000
-442,00833081;0,62746050;3,54014700
-441,68065081;0,62746050;2,28888800
-441,35297081;0,62746050;0,91555520
-441,02529081;0,62746050;-0,71718490
-440,69761081;0,60548720;-3,12814700
-440,36993082;0,62746050;-4,24207300
-440,04225082;0,62746050;-5,89007200
-439,71457082;0,62746050;-8,16370100
-439,38689082;0,64943390;-9,20133000
-439,05921082;0,64943390;-11,26133000
-438,73153083;0,60548720;-13,19925000
-438,40385083;0,60548720;-14,78622000
-438,07617083;0,62746050;-16,51051000
-437,74849083;0,62746050;-18,50947000
-437,42081083;0,62746050;-20,08118000
-437,09313084;0,62746050;-21,74444000
-436,76545084;0,62746050;-22,56844000
-436,43777084;0,62746050;-22,78207000
-436,11009084;0,67140720;-25,39140000
