Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,10448938;0,60548720;-54,27717000
-500,77680938;0,58412430;-56,13879000
-500,44912938;0,60548720;-55,86413000
-500,12144938;0,60548720;-55,86413000
-499,79376938;0,60548720;-55,72679000
-499,46608939;0,60548720;-55,51316000
-499,13840939;0,60548720;-54,96383000
-498,81072939;0,60548720;-53,92620000
-498,48304939;0,62746050;-53,45317000
-498,15536939;0,64943390;-52,55287000
-497,82768940;0,64943390;-52,33924000
-497,50000940;0,64943390;-52,47657000
-497,17232940;0,64943390;-52,69020000
-496,84464940;0,67140720;-52,47657000
-496,51696940;0,67140720;-52,27820000
-496,18928941;0,67140720;-51,78991000
-495,86160941;0,67140720;-50,88961000
-495,53392941;0,67140720;-50,47761000
-495,20624941;0,67140720;-49,79095000
-494,87856941;0,67140720;-52,00354000
-494,55088942;0,64943390;-51,51524000
-494,22320942;0,64943390;-51,37791000
-493,89552942;0,64943390;-50,75228000
-493,56784942;0,64943390;-50,41658000
-493,24016942;0,64943390;-50,27924000
-492,91248943;0,64943390;-49,79095000
-492,58480943;0,64943390;-49,65361000
-492,25712943;0,64943390;-48,96695000
-491,92944943;0,64943390;-48,00561000
-491,60176943;0,64943390;-47,44102000
-491,27408944;0,64943390;-47,59361000
-490,94640944;0,64943390;-47,10532000
-490,61872944;0,64943390;-46,41865000
-490,29104944;0,64943390;-46,69331000
-489,96336944;0,64943390;-46,00665000
-489,63568945;0,64943390;-45,44206000
-489,30800945;0,67140720;-45,10636000
-488,98032945;0,67140720;-44,69436000
-488,65264945;0,67140720;-44,20606000
-488,32496945;0,67140720;-43,79406000
-487,99728946;0,67140720;-43,51939000
-487,66960946;0,71474350;-43,30576000
-487,34192946;0,69277020;-42,89376000
-487,01424946;0,69277020;-42,61909000
-486,68656946;0,67140720;-42,00872000
-486,35888947;0,67140720;-40,83376000
-486,03120947;0,67140720;-40,20813000
-485,70352947;0,67140720;-40,14710000
-485,37584947;0,67140720;-40,20813000
-485,04816947;0,62746050;-39,79613000
-484,72048948;0,62746050;-39,03317000
-484,39280948;0,62746050;-38,07184000
-484,06512948;0,64943390;-37,52250000
-483,73744948;0,62746050;-37,24784000
-483,40976948;0,62746050;-37,52250000
-483,08208949;0,62746050;-37,52250000
-482,75440949;0,62746050;-36,83584000
-482,42672949;0,62746050;-36,28650000
-482,09904949;0,64943390;-35,73717000
-481,77136949;0,64943390;-33,79925000
-481,44368950;0,62746050;-33,31095000
-481,11600950;0,64943390;-32,15125000
-480,78832950;0,64943390;-32,48695000
-480,46064950;0,64943390;-31,80028000
-480,13296950;0,64943390;-32,83791000
-479,80528951;0,64943390;-32,34962000
-479,47760951;0,64943390;-31,93762000
-479,14992951;0,64943390;-29,93866000
-478,82224951;0,67140720;-29,52666000
-478,49456951;0,67140720;-29,46562000
-478,16688952;0,67140720;-29,80132000
-477,83920952;0,67140720;-30,01495000
-477,51152952;0,64943390;-29,66399000
-477,18384952;0,64943390;-28,97732000
-476,85616952;0,64943390;-28,29066000
-476,52848953;0,64943390;-28,07703000
-476,20080953;0,64943390;-27,03940000
-475,87312953;0,64943390;-26,84103000
-475,54544953;0,64943390;-25,94073000
-475,21776953;0,62746050;-25,66606000
-474,89008954;0,64943390;-25,87969000
-474,56240954;0,62746050;-25,60503000
-474,23472954;0,62746050;-24,97940000
-473,90704954;0,62746050;-21,94281000
-473,57936954;0,62746050;-21,04251000
-473,25168955;0,62746050;-20,56947000
-472,92400955;0,62746050;-19,94385000
-472,59632955;0,64943390;-19,39451000
-472,26864955;0,62746050;-18,57051000
-471,94096955;0,64943390;-18,35688000
-471,61328956;0,64943390;-17,39555000
-471,28560956;0,64943390;-17,12088000
-470,95792956;0,62746050;-16,63259000
-470,63024956;0,62746050;-16,08325000
-470,30256956;0,62746050;-16,63259000
-469,97488957;0,62746050;-16,02221000
-469,64720957;0,64943390;-14,92355000
-469,31952957;0,62746050;-13,33659000
-468,99184957;0,62746050;-12,92459000
-468,66416957;0,62746050;-12,36000000
-468,33648958;0,62746050;-12,29896000
-468,00880958;0,62746050;-11,47496000
-467,68112958;0,60548720;-10,36103000
-467,35344958;0,60548720;-9,88799700
-467,02576958;0,60548720;-9,12503300
-466,69808959;0,62746050;-8,30103400
-466,37040959;0,62746050;-7,75170100
-466,04272959;0,62746050;-7,61436700
-465,71504959;0,64943390;-7,40073800
-465,38736959;0,64943390;-7,26340500
-465,05968960;0,64943390;-6,65303500
-464,73200960;0,64943390;-5,06607200
-464,40432960;0,64943390;-3,95214700
-464,07664960;0,64943390;-1,61748100
-463,74896960;0,64943390;-1,26651800
-463,42128961;0,62746050;-1,40385100
-463,09360961;0,62746050;-0,99185150
-462,76592961;0,62746050;0,16785180
-462,43824961;0,64943390;0,71718490
-462,11056961;0,64943390;0,85451820
-461,78288962;0,64943390;1,19022200
-461,45520962;0,62746050;1,32755500
-461,12752962;0,60548720;1,73955500
-460,79984962;0,62746050;1,73955500
-460,47216962;0,62746050;2,44148100
-460,14448963;0,62746050;2,85348100
-459,81680963;0,62746050;3,46385000
-459,48912963;0,62746050;3,73851700
-459,16144963;0,62746050;5,73747900
-458,83376963;0,62746050;7,04977500
-458,50608964;0,64943390;7,67540500
-458,17840964;0,64943390;6,63777500
-457,85072964;0,64943390;7,40073800
-457,52304964;0,64943390;7,81273800
-457,19536964;0,62746050;8,63673800
-456,86768965;0,62746050;8,91140500
-456,54000965;0,62746050;9,59807000
-456,21232965;0,64943390;9,67436700
-455,88464965;0,62746050;9,94903400
-455,55696965;0,62746050;10,77303000
-455,22928966;0,62746050;11,18503000
-454,90160966;0,62746050;12,00903000
-454,57392966;0,64943390;12,22266000
-454,24624966;0,62746050;12,14637000
-453,91856966;0,62746050;12,69570000
-453,59088967;0,62746050;13,53496000
-453,26320967;0,64943390;13,87066000
-452,93552967;0,64943390;13,73333000
-452,60784967;0,64943390;13,87066000
-452,28016967;0,62746050;14,28266000
-451,95248968;0,62746050;14,28266000
-451,62480968;0,64943390;14,14533000
-451,29712968;0,64943390;14,83200000
-450,96944968;0,64943390;15,94592000
-450,64176968;0,64943390;16,35792000
-450,31408968;0,64943390;16,55629000
-449,98640969;0,62746050;16,63259000
-449,65872969;0,64943390;17,31925000
-449,33104969;0,64943390;19,04355000
-449,00336969;0,64943390;19,37925000
-448,67568969;0,64943390;19,59288000
-448,34800970;0,64943390;20,08118000
-448,02032970;0,64943390;21,24088000
-447,69264970;0,64943390;21,94281000
-447,36496970;0,67140720;22,55318000
-447,03728970;0,67140720;22,69051000
-446,70960971;0,67140720;22,82784000
-446,38192971;0,67140720;23,86547000
-446,05424971;0,67140720;24,27747000
-445,72656971;0,67140720;24,62844000
-445,39888971;0,67140720;25,10147000
-445,07120972;0,67140720;26,00177000
-444,74352972;0,67140720;26,55110000
-444,41584972;0,67140720;26,90207000
-444,08816972;0,67140720;26,96310000
-443,76048972;0,64943390;26,41377000
-443,43280973;0,64943390;26,96310000
-443,10512973;0,64943390;26,68843000
-442,77744973;0,64943390;27,37510000
-442,44976973;0,64943390;28,06177000
-442,12208973;0,64943390;28,41273000
-441,79440974;0,64943390;28,62636000
-441,46672974;0,64943390;29,17569000
-441,13904974;0,67140720;29,64873000
-440,81136974;0,67140720;29,99969000
-440,48368974;0,67140720;30,47273000
-440,15600975;0,67140720;31,17466000
-439,82832975;0,67140720;30,74740000
-439,50064975;0,67140720;30,41169000
-439,17296975;0,67140720;30,54902000
-438,84528975;0,67140720;31,09836000
-438,51760976;0,67140720;32,33436000
-438,18992976;0,64943390;31,58666000
-437,86224976;0,62746050;31,58666000
