Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,31244998;0,67140720;26,13910000
-500,98476998;0,67140720;25,65080000
-500,65708999;0,67140720;24,82681000
-500,32940999;0,67140720;24,55214000
-500,00172999;0,64943390;23,72814000
-499,67404999;0,64943390;21,59184000
-499,34636999;0,64943390;20,96622000
-499,01869000;0,64943390;20,55421000
-498,69101000;0,64943390;19,94385000
-498,36333000;0,64943390;21,31718000
-498,03565000;0,64943390;21,24088000
-497,70797000;0,64943390;20,76784000
-497,38029001;0,67140720;19,10459000
-497,05261001;0,67140720;17,73125000
-496,72493001;0,67140720;16,96829000
-496,39725001;0,67140720;16,08325000
-496,06957001;0,67140720;14,83200000
-495,74189002;0,67140720;13,80962000
-495,41421002;0,67140720;12,83303000
-495,08653002;0,67140720;11,39866000
-494,75885002;0,67140720;10,63570000
-494,43117002;0,67140720;9,94903400
-494,10349003;0,67140720;9,46073700
-493,77581003;0,67140720;9,26236700
-493,44813003;0,67140720;10,77303000
-493,12045003;0,67140720;10,08637000
-492,79277003;0,67140720;9,73540400
-492,46509004;0,64943390;9,12503300
-492,13741004;0,64943390;7,95007100
-491,80973004;0,64943390;7,32444200
-491,48205004;0,64943390;6,50044200
-491,15437004;0,64943390;5,12710900
-490,82669005;0,64943390;4,71510900
-490,49901005;0,64943390;4,15051700
-490,17133005;0,64943390;3,32651700
-489,84365005;0,67140720;2,57881400
-489,51597005;0,67140720;1,60222200
-489,18829006;0,67140720;1,12918500
-488,86061006;0,67140720;0,30518510
-488,53293006;0,64943390;-0,93081450
-488,20525006;0,64943390;-1,20548100
-487,87757006;0,64943390;-1,75481400
-487,54989007;0,64943390;-2,30414700
-487,22221007;0,64943390;-3,12814700
-486,89453007;0,64943390;-4,16577600
-486,56685007;0,64943390;-4,79140600
-486,23917007;0,64943390;-5,61540600
-485,91149008;0,67140720;-6,65303500
-485,58381008;0,67140720;-7,20236800
-485,25613008;0,64943390;-8,02636700
-484,92845008;0,64943390;-7,67540500
-484,60077008;0,64943390;-8,22473800
-484,27309009;0,64943390;-8,98770000
-483,94541009;0,64943390;-9,12503300
-483,61773009;0,62746050;-9,61333000
-483,29005009;0,62746050;-10,08637000
-482,96237009;0,62746050;-10,49837000
-482,63469010;0,62746050;-10,71200000
-482,30701010;0,62746050;-11,61229000
-481,97933010;0,62746050;-12,22266000
-481,65165010;0,62746050;-13,26029000
-481,32397010;0,62746050;-14,16059000
-480,99629011;0,64943390;-14,77096000
-480,66861011;0,64943390;-15,25925000
-480,34093011;0,64943390;-16,08325000
-480,01325011;0,67140720;-17,19718000
-479,68557011;0,67140720;-17,67022000
-479,35789012;0,64943390;-18,35688000
-479,03021012;0,64943390;-19,33348000
-478,70253012;0,64943390;-18,57051000
-478,37485012;0,64943390;-19,74548000
-478,04717012;0,64943390;-20,35585000
-477,71949013;0,64943390;-20,98147000
-477,39181013;0,64943390;-24,07910000
-477,06413013;0,64943390;-24,76577000
-476,73645013;0,67140720;-24,84207000
-476,40877013;0,67140720;-24,56740000
-476,08109014;0,67140720;-25,17777000
-475,75341014;0,67140720;-25,80340000
-475,42573014;0,64943390;-26,35273000
-475,09805014;0,64943390;-25,66606000
-474,77037014;0,64943390;-26,29169000
-474,44269015;0,64943390;-28,62636000
-474,11501015;0,64943390;-28,76369000
-473,78733015;0,64943390;-26,01703000
-473,45965015;0,64943390;-26,29169000
-473,13197015;0,64943390;-27,11569000
-472,80429016;0,67140720;-27,52769000
-472,47661016;0,67140720;-30,70162000
-472,14893016;0,67140720;-31,17466000
-471,82125016;0,64943390;-32,42591000
-471,49357016;0,64943390;-33,17362000
-471,16589017;0,64943390;-33,11258000
-470,83821017;0,64943390;-34,15021000
-470,51053017;0,64943390;-34,28754000
-470,18285017;0,64943390;-34,56221000
-469,85517017;0,64943390;-35,24888000
-469,52749018;0,64943390;-35,66088000
-469,19981018;0,67140720;-36,14917000
-468,87213018;0,67140720;-36,42384000
-468,54445018;0,67140720;-36,75954000
-468,21677018;0,67140720;-37,03421000
-467,88909019;0,67140720;-37,52250000
-467,56141019;0,67140720;-38,20917000
-467,23373019;0,64943390;-38,75851000
-466,90605019;0,64943390;-39,38414000
-466,57837019;0,64943390;-40,48280000
-466,25069020;0,62746050;-41,24576000
-465,92301020;0,62746050;-42,69539000
-465,59533020;0,62746050;-43,24472000
-465,26765020;0,62746050;-44,00769000
-464,93997020;0,62746050;-44,61806000
-464,61229020;0,62746050;-45,44206000
-464,28461021;0,62746050;-46,47969000
-463,95693021;0,60548720;-47,51731000
-463,62925021;0,62746050;-48,89065000
-463,30157021;0,62746050;-49,30265000
-462,97389021;0,62746050;-50,34028000
-462,64621022;0,60548720;-50,47761000
-462,31853022;0,60548720;-51,30161000
-461,99085022;0,62746050;-52,55287000
-461,66317022;0,62746050;-53,10220000
-461,33549022;0,64943390;-53,16324000
-461,00781023;0,64943390;-53,65154000
-460,68013023;0,64943390;-54,00250000
-460,35245023;0,64943390;-53,92620000
-460,02477023;0,67140720;-54,68917000
-459,69709023;0,67140720;-56,13879000
-459,36941024;0,67140720;-56,47450000
-459,04173024;0,64943390;-56,88650000
-458,71405024;0,64943390;-57,43583000
-458,38637024;0,64943390;-57,72576000
-458,05869024;0,64943390;-58,33613000
-457,73101025;0,64943390;-58,96176000
-457,40333025;0,64943390;-58,82442000
-457,07565025;0,62746050;-59,64843000
-456,74797025;0,62746050;-60,06042000
-456,42029025;0,64943390;-59,92309000
-456,09261026;0,64943390;-60,60975000
-455,76493026;0,64943390;-61,57109000
-455,43725026;0,62746050;-61,70842000
-455,10957026;0,62746050;-61,78472000
-454,78189026;0,60548720;-63,02072000
-454,45421027;0,62746050;-63,57005000
-454,12653027;0,62746050;-64,88235000
-453,79885027;0,62746050;-65,29434000
-453,47117027;0,62746050;-63,78368000
-453,14349027;0,62746050;-63,78368000
-452,81581028;0,64943390;-67,56798000
-452,48813028;0,64943390;-68,40723000
-452,16045028;0,67140720;-68,54457000
-451,83277028;0,67140720;-72,67982000
-451,50509028;0,67140720;-73,36649000
-451,17741029;0,67140720;-73,97686000
-450,84973029;0,67140720;-74,19049000
-450,52205029;0,64943390;-74,73982000
-450,19437029;0,64943390;-75,09079000
-449,86669029;0,64943390;-74,87716000
-449,53901030;0,64943390;-75,83849000
-449,21133030;0,64943390;-76,87612000
-448,88365030;0,64943390;-77,08975000
-448,55597030;0,64943390;-77,63908000
-448,22829030;0,64943390;-77,91375000
-447,90061031;0,67140720;-78,60042000
-447,57293031;0,67140720;-78,95138000
-447,24525031;0,67140720;-79,63805000
-446,91757031;0,67140720;-79,97375000
-446,58989031;0,67140720;-80,24842000
-446,26221032;0,67140720;-80,81301000
-445,93453032;0,67140720;-81,28605000
-445,60685032;0,67140720;-80,87405000
-445,27917032;0,67140720;-81,14871000
-444,95149032;0,67140720;-80,87405000
-444,62381033;0,67140720;-80,24842000
-444,29613033;0,67140720;-80,24842000
-443,96845033;0,67140720;-80,67567000
-443,64077033;0,64943390;-80,24842000
-443,31309033;0,64943390;-80,46205000
-442,98541034;0,64943390;-80,81301000
-442,65773034;0,64943390;-80,81301000
-442,33005034;0,64943390;-81,14871000
-442,00237034;0,64943390;-81,22501000
-441,67469034;0,64943390;-81,91167000
-441,34701035;0,64943390;-81,49968000
-441,01933035;0,67140720;-79,42442000
-440,69165035;0,67140720;-79,69908000
-440,36397035;0,64943390;-79,56175000
-440,03629035;0,64943390;-79,91271000
-439,70861036;0,64943390;-80,87405000
-439,38093036;0,64943390;-80,24842000
-439,05325036;0,64943390;-80,05005000
-438,72557036;0,64943390;-80,18738000
