Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,33754354;0,64943390;-20,70681000
-501,00986354;0,64943390;-21,46977000
-500,68218354;0,64943390;-21,88177000
-500,35450354;0,64943390;-22,49214000
-500,02682355;0,62746050;-23,25510000
-499,69914355;0,62746050;-23,52977000
-499,37146355;0,62746050;-24,07910000
-499,04378355;0,60548720;-24,01807000
-498,71610355;0,58412430;-25,60503000
-498,38842356;0,58412430;-25,94073000
-498,06074356;0,58412430;-26,21540000
-497,73306356;0,58412430;-26,35273000
-497,40538356;0,60548720;-26,90207000
-497,07770356;0,60548720;-27,25303000
-496,75002357;0,60548720;-27,46666000
-496,42234357;0,60548720;-26,91732000
-496,09466357;0,62746050;-27,05466000
-495,76698357;0,60548720;-27,32932000
-495,43930357;0,62746050;-27,11569000
-495,11162358;0,62746050;-27,60399000
-494,78394358;0,60548720;-27,25303000
-494,45626358;0,60548720;-27,25303000
-494,12858358;0,60548720;-27,46666000
-493,80090358;0,62746050;-27,74132000
-493,47322359;0,62746050;-28,56532000
-493,14554359;0,64943390;-28,83999000
-492,81786359;0,64943390;-29,66399000
-492,49018359;0,64943390;-30,07599000
-492,16250359;0,67140720;-30,76266000
-491,83482360;0,67140720;-31,25095000
-491,50714360;0,67140720;-32,07495000
-491,17946360;0,67140720;-31,73925000
-490,85178360;0,67140720;-31,60192000
-490,52410360;0,67140720;-31,93762000
-490,19642361;0,67140720;-31,60192000
-489,86874361;0,67140720;-32,01391000
-489,54106361;0,64943390;-31,93762000
-489,21338361;0,64943390;-32,21228000
-488,88570361;0,64943390;-32,70058000
-488,55802362;0,64943390;-33,17362000
-488,23034362;0,64943390;-33,73821000
-487,90266362;0,64943390;-33,93658000
-487,57498362;0,64943390;-33,93658000
-487,24730362;0,64943390;-34,07391000
-486,91962362;0,67140720;-34,42488000
-486,59194363;0,67140720;-35,03525000
-486,26426363;0,67140720;-34,89791000
-485,93658363;0,67140720;-34,83688000
-485,60890363;0,67140720;-34,69954000
-485,28122363;0,67140720;-35,73717000
-484,95354364;0,67140720;-36,48487000
-484,62586364;0,67140720;-36,34754000
-484,29818364;0,67140720;-35,79821000
-483,97050364;0,67140720;-36,07288000
-483,64282364;0,67140720;-35,66088000
-483,31514365;0,67140720;-36,34754000
-482,98746365;0,67140720;-36,48487000
-482,65978365;0,67140720;-36,56117000
-482,33210365;0,67140720;-36,69851000
-482,00442365;0,67140720;-37,24784000
-481,67674366;0,67140720;-36,97317000
-481,34906366;0,67140720;-37,87347000
-481,02138366;0,64943390;-37,73613000
-480,69370366;0,64943390;-38,28547000
-480,36602366;0,64943390;-37,59880000
-480,03834367;0,62746050;-37,17154000
-479,71066367;0,62746050;-37,30888000
-479,38298367;0,62746050;-37,58354000
-479,05530367;0,62746050;-37,24784000
-478,72762367;0,62746050;-37,65984000
-478,39994368;0,64943390;-37,52250000
-478,07226368;0,64943390;-37,93451000
-477,74458368;0,64943390;-37,30888000
-477,41690368;0,67140720;-37,17154000
-477,08922368;0,67140720;-37,03421000
-476,76154369;0,67140720;-36,89687000
-476,43386369;0,67140720;-36,75954000
-476,10618369;0,67140720;-36,75954000
-475,77850369;0,67140720;-36,83584000
-475,45082369;0,67140720;-37,87347000
-475,12314370;0,67140720;-38,07184000
-474,79546370;0,67140720;-38,48384000
-474,46778370;0,64943390;-38,89584000
-474,14010370;0,64943390;-38,83480000
-473,81242370;0,64943390;-39,03317000
-473,48474371;0,64943390;-39,24680000
-473,15706371;0,64943390;-39,24680000
-472,82938371;0,64943390;-39,46043000
-472,50170371;0,62746050;-39,38414000
-472,17402371;0,62746050;-39,65880000
-471,84634372;0,62746050;-39,73510000
-471,51866372;0,62746050;-39,73510000
-471,19098372;0,62746050;-40,00977000
-470,86330372;0,62746050;-39,79613000
-470,53562372;0,62746050;-40,34547000
-470,20794373;0,62746050;-40,42176000
-469,88026373;0,64943390;-40,97110000
-469,55258373;0,64943390;-41,16946000
-469,22490373;0,67140720;-41,45939000
-468,89722373;0,67140720;-41,73406000
-468,56954374;0,67140720;-41,87139000
-468,24186374;0,64943390;-41,87139000
-467,91418374;0,64943390;-41,03213000
-467,58650374;0,64943390;-41,52043000
-467,25882374;0,64943390;-41,32206000
-466,93114375;0,64943390;-42,28339000
-466,60346375;0,64943390;-43,03109000
-466,27578375;0,64943390;-42,34443000
-465,94810375;0,64943390;-42,34443000
-465,62042375;0,64943390;-42,14606000
-465,29274376;0,64943390;-42,48176000
-464,96506376;0,64943390;-43,03109000
-464,63738376;0,62746050;-43,10739000
-464,30970376;0,62746050;-43,51939000
-463,98202376;0,62746050;-43,32102000
-463,65434377;0,62746050;-43,03109000
-463,32666377;0,60548720;-43,38206000
-462,99898377;0,62746050;-42,97006000
-462,67130377;0,60548720;-42,89376000
-462,34362377;0,58412430;-43,59569000
-462,01594378;0,60548720;-43,03109000
-461,68826378;0,60548720;-43,32102000
-461,36058378;0,60548720;-42,69539000
-461,03290378;0,60548720;-42,55806000
-460,70522378;0,62746050;-42,55806000
-460,37754379;0,62746050;-42,14606000
-460,04986379;0,64943390;-42,14606000
-459,72218379;0,67140720;-41,52043000
-459,39450379;0,67140720;-42,06976000
-459,06682379;0,67140720;-42,14606000
-458,73914380;0,67140720;-41,79509000
-458,41146380;0,67140720;-41,87139000
-458,08378380;0,67140720;-41,65776000
-457,75610380;0,64943390;-41,52043000
-457,42842380;0,64943390;-41,59673000
-457,10074381;0,64943390;-41,32206000
-456,77306381;0,64943390;-41,59673000
-456,44538381;0,64943390;-41,65776000
-456,11770381;0,64943390;-41,59673000
-455,79002381;0,64943390;-41,52043000
-455,46234382;0,64943390;-41,10843000
-455,13466382;0,67140720;-41,10843000
-454,80698382;0,67140720;-40,75747000
-454,47930382;0,67140720;-41,03213000
-454,15162382;0,64943390;-41,03213000
-453,82394383;0,64943390;-41,10843000
-453,49626383;0,64943390;-40,97110000
-453,16858383;0,64943390;-40,28443000
-452,84090383;0,64943390;-40,00977000
-452,51322383;0,64943390;-39,24680000
-452,18554384;0,64943390;-39,17051000
-451,85786384;0,64943390;-39,38414000
-451,53018384;0,67140720;-39,03317000
-451,20250384;0,67140720;-39,24680000
-450,87482384;0,67140720;-39,24680000
-450,54714385;0,67140720;-39,03317000
-450,21946385;0,67140720;-38,75851000
-449,89178385;0,67140720;-38,62117000
-449,56410385;0,67140720;-38,14813000
-449,23642385;0,67140720;-38,28547000
-448,90874386;0,67140720;-37,59880000
-448,58106386;0,64943390;-37,46147000
-448,25338386;0,64943390;-37,17154000
-447,92570386;0,64943390;-36,89687000
-447,59802386;0,64943390;-36,69851000
-447,27034387;0,62746050;-36,42384000
-446,94266387;0,62746050;-37,24784000
-446,61498387;0,62746050;-36,83584000
-446,28730387;0,62746050;-36,89687000
-445,95962387;0,64943390;-35,79821000
-445,63194388;0,64943390;-35,30991000
-445,30426388;0,64943390;-35,73717000
-444,97658388;0,64943390;-35,38621000
-444,64890388;0,67140720;-35,17258000
-444,32122388;0,67140720;-34,89791000
-443,99354389;0,67140720;-34,42488000
-443,66586389;0,67140720;-34,56221000
-443,33818389;0,67140720;-34,42488000
-443,01050389;0,67140720;-33,24991000
-442,68282389;0,67140720;-33,79925000
-442,35514390;0,64943390;-33,93658000
-442,02746390;0,64943390;-33,44828000
-441,69978390;0,64943390;-33,93658000
-441,37210390;0,64943390;-33,38725000
-441,04442390;0,62746050;-33,44828000
-440,71674391;0,62746050;-33,03629000
-440,38906391;0,62746050;-32,76162000
-440,06138391;0,62746050;-32,34962000
-439,73370391;0,64943390;-31,80028000
-439,40602391;0,62746050;-32,01391000
