Tiempo;Canal A;Canal B
(ms);(V);(mV)

-501,28181319;11,03061000;215,12500000
-500,95413320;11,03061000;209,60110000
-500,62645320;11,03061000;204,71810000
-500,29877320;11,05258000;200,09460000
-499,97109320;11,05258000;194,37240000
-499,64341320;11,05258000;188,86380000
-499,31573321;11,05258000;184,17920000
-498,98805321;11,05258000;178,65530000
-498,66037321;11,05258000;172,18540000
-498,33269321;11,03061000;166,95150000
-498,00501321;11,03061000;161,91600000
-497,67733322;11,03061000;156,40730000
-497,34965322;11,05258000;150,74620000
-497,02197322;11,05258000;145,78690000
-496,69429322;11,05258000;139,79000000
-496,36661322;11,07456000;132,89280000
-496,03893323;11,09592000;127,65890000
-495,71125323;11,11789000;122,97430000
-495,38357323;11,13987000;117,93880000
-495,05589323;11,13987000;111,39250000
-494,72821323;11,13987000;106,64690000
-494,40053324;11,13987000;101,12310000
-494,07285324;11,16184000;96,24011000
-493,74517324;11,16184000;90,99094000
-493,41749324;11,16184000;85,40604000
-493,08981324;11,16184000;79,21078000
-492,76213325;11,16184000;74,25153000
-492,43445325;11,13987000;69,21598000
-492,10677325;11,13987000;63,21909000
-491,77909325;11,11789000;57,08487000
-491,45141325;11,11789000;52,26294000
-491,12373326;11,11789000;46,89169000
-490,79605326;11,09592000;41,30680000
-490,46837326;11,07456000;36,27124000
-490,14069326;11,07456000;31,92236000
-489,81301326;11,07456000;26,49006000
-489,48533327;11,05258000;20,76784000
-489,15765327;11,07456000;15,80859000
-488,82997327;11,05258000;11,04770000
-488,50229327;11,05258000;5,12710900
-488,17461327;11,05258000;-0,10681480
-487,84693328;11,05258000;-4,92873900
-487,51925328;11,05258000;-10,51363000
-487,19157328;11,05258000;-16,09851000
-486,86389328;11,07456000;-21,11881000
-486,53621328;11,07456000;-26,77999000
-486,20853329;11,09592000;-32,83791000
-485,88085329;11,09592000;-37,32413000
-485,55317329;11,11789000;-42,77169000
-485,22549329;11,13987000;-48,41761000
-484,89781329;11,11789000;-54,00250000
-484,57013330;11,13987000;-59,92309000
-484,24245330;11,11789000;-65,09598000
-483,91477330;11,11789000;-70,32990000
-483,58709330;11,11789000;-75,15182000
-483,25941330;11,11789000;-80,67567000
-482,93173331;11,11789000;-85,98589000
-482,60405331;11,11789000;-91,08249000
-482,27637331;11,13987000;-95,90441000
-481,94869331;11,11789000;-100,45170000
-481,62101331;11,11789000;-105,54830000
-481,29333332;11,11789000;-110,37020000
-480,96565332;11,11789000;-115,07000000
-480,63797332;11,11789000;-120,09030000
-480,31029332;11,09592000;-125,12590000
-479,98261332;11,09592000;-129,53580000
-479,65493333;11,07456000;-134,57140000
-479,32725333;11,09592000;-140,21730000
-478,99957333;11,11789000;-145,86320000
-478,67189333;11,11789000;-150,34940000
-478,34421333;11,09592000;-155,79700000
-478,01653334;11,09592000;-161,16820000
-477,68885334;11,11789000;-164,96780000
-477,36117334;11,11789000;-169,57610000
-477,03349334;11,13987000;-175,29830000
-476,70581334;11,11789000;-180,25760000
-476,37813335;11,11789000;-185,36940000
-476,05045335;11,11789000;-190,25240000
-475,72277335;11,11789000;-194,05190000
-475,39509335;11,11789000;-198,66020000
-475,06741335;11,11789000;-203,28380000
-474,73973336;11,09592000;-207,28170000
-474,41205336;11,09592000;-212,10360000
-474,08437336;11,11789000;-215,27760000
-473,75669336;11,11789000;-219,41280000
-473,42901336;11,11789000;-223,68540000
-473,10133337;11,13987000;-227,95800000
-472,77365337;11,13987000;-232,36790000
-472,44597337;11,13987000;-237,32720000
-472,11829337;11,13987000;-241,53870000
-471,79061337;11,13987000;-246,22330000
-471,46293338;11,13987000;-250,29750000
-471,13525338;11,13987000;-254,21920000
-470,80757338;11,11789000;-257,72880000
-470,47989338;11,09592000;-261,80300000
-470,15221338;11,07456000;-265,99930000
-469,82453339;11,05258000;-269,72260000
-469,49685339;11,05258000;-274,07150000
-469,16917339;11,03061000;-279,03070000
-468,84149339;11,00864000;-283,10490000
-468,51381339;11,00864000;-287,10290000
-468,18613340;11,00864000;-291,29910000
-467,85845340;11,00864000;-295,51070000
-467,53077340;11,03061000;-299,21870000
-467,20309340;11,05258000;-302,94200000
-466,87541340;11,07456000;-307,29090000
-466,54773341;11,09592000;-310,73940000
-466,22005341;11,11789000;-314,60000000
-465,89237341;11,11789000;-319,01000000
-465,56469341;11,13987000;-322,59590000
-465,23701341;11,16184000;-326,38020000
-464,90933342;11,16184000;-330,86640000
-464,58165342;11,13987000;-334,23870000
-464,25397342;11,13987000;-337,74830000
-463,92629342;11,13987000;-341,68520000
-463,59861342;11,11789000;-344,37080000
-463,27093343;11,11789000;-347,88050000
-462,94325343;11,11789000;-352,09200000
-462,61557343;11,11789000;-355,87630000
-462,28789343;11,09592000;-358,91290000
-461,96021343;11,09592000;-362,55990000
-461,63253344;11,07456000;-366,22210000
-461,30485344;11,07456000;-369,59440000
-460,97717344;11,07456000;-372,96670000
-460,64949344;11,05258000;-376,55260000
-460,32181344;11,03061000;-380,35210000
-459,99413345;11,03061000;-383,66340000
-459,66645345;11,05258000;-387,37140000
-459,33877345;11,07456000;-390,91160000
-459,01109345;11,09592000;-394,43650000
-458,68341345;11,07456000;-397,47310000
-458,35573346;11,09592000;-400,72330000
-458,02805346;11,11789000;-403,14950000
-457,70037346;11,13987000;-405,89610000
-457,37269346;11,13987000;-408,52070000
-457,04501346;11,11789000;-410,71810000
-456,71733347;11,11789000;-413,55630000
-456,38965347;11,11789000;-416,30290000
-456,06197347;11,11789000;-417,82890000
-455,73429347;11,11789000;-420,37720000
-455,40661347;11,11789000;-422,66610000
-455,07893348;11,11789000;-425,01600000
-454,75125348;11,11789000;-428,47990000
-454,42357348;11,13987000;-430,61610000
-454,09589348;11,13987000;-433,17970000
-453,76821348;11,13987000;-436,29260000
-453,44053349;11,16184000;-438,42890000
-453,11285349;11,13987000;-440,73300000
-452,78517349;11,11789000;-443,23550000
-452,45749349;11,09592000;-445,67700000
-452,12981349;11,07456000;-448,50000000
-451,80213350;11,07456000;-450,30060000
-451,47445350;11,07456000;-451,70440000
-451,14677350;11,07456000;-453,56600000
-450,81909350;11,05258000;-455,44290000
-450,49141350;11,05258000;-457,47240000
-450,16373351;11,05258000;-459,19670000
-449,83605351;11,07456000;-461,19570000
-449,50837351;11,09592000;-462,84370000
-449,18069351;11,07456000;-464,43070000
-448,85301351;11,05258000;-466,46010000
-448,52533352;11,03061000;-468,00130000
-448,19765352;11,05258000;-469,29840000
-447,86997352;11,07456000;-470,91580000
-447,54229352;11,07456000;-472,24340000
-447,21461352;11,07456000;-473,92190000
-446,88693353;11,07456000;-475,23420000
-446,55925353;11,07456000;-476,19560000
-446,23157353;11,07456000;-477,59940000
-445,90389353;11,07456000;-478,86590000
-445,57621353;11,07456000;-480,11720000
-445,24853354;11,07456000;-480,80380000
-444,92085354;11,09592000;-481,71940000
-444,59317354;11,09592000;-482,89430000
-444,26549354;11,09592000;-483,44370000
-443,93781354;11,11789000;-484,16090000
-443,61013355;11,13987000;-484,35920000
-443,28245355;11,13987000;-485,06120000
-442,95477355;11,13987000;-485,61050000
-442,62709355;11,11789000;-486,35820000
-442,29941355;11,11789000;-486,70910000
-441,97173355;11,11789000;-486,70910000
-441,64405356;11,09592000;-486,90750000
-441,31637356;11,09592000;-486,98380000
-440,98869356;11,09592000;-486,57180000
-440,66101356;11,09592000;-486,70910000
-440,33333356;11,07456000;-486,98380000
-440,00565357;11,09592000;-487,04490000
-439,67797357;11,07456000;-486,77020000
-439,35029357;11,07456000;-485,80880000
-439,02261357;11,07456000;-485,61050000
-438,69493357;11,07456000;-485,39690000
