Configuración;Frecuencia (Hz);Archivo;φ_max (°);φ_corr (°);φ_pulso (°);φ_guia (°)
cerrada;4,2;Forzada-amortiguada4.2hz_1.csv;94,63136198544;86,20867531554633;97,60407487363537;76,65538734306635
cerrada;4,2;Forzada-amortiguada4.2hz_2.csv;82,74051022104;84,722318845435;97,60822476889102;76,15883379983303
cerrada;4,2;Forzada-amortiguada4.2hz_3.csv;75,30872786640003;83,23596237363097;103,02883019255837;74,9047698680449
cerrada;4,2;Forzada-amortiguada4.2hz_4.csv;83,23596236592;86,20867531554633;103,29371943572293;72,33018090535512
cerrada;4,2;Forzada-amortiguada4.2hz_5.csv;98,59497923519999;85,7132231594167;103,95681801411007;71,89181540147543
cerrada;4,2;Forzada-amortiguada4.2hz_6.csv;97,10862277032001;90,66774472841942;104,049102803531;73,20846214542982
cerrada;4,3;Forzada-amortiguada4.3hz_1.csv;110,07295421435998;116,1599378544971;129,34816645618815;48,416947245383156
cerrada;4,3;Forzada-amortiguada4.3hz_2.csv;115,14544058339997;111,08745148419538;130,3543981823115;49,4431434903572
cerrada;4,3;Forzada-amortiguada4.3hz_3.csv;92,82650056271996;109,05845693762828;123,75591508718442;51,55334454181572
cerrada;4,3;Forzada-amortiguada4.3hz_4.csv;127,31940786600002;108,04395966378989;128,6042959569048;51,46058845303223
cerrada;4,3;Forzada-amortiguada4.3hz_5.csv;119,20342967244;108,55120829962472;127,56878117810108;52,338725305541175
cerrada;4,3;Forzada-amortiguada4.3hz_6.csv;111,59470011887998;106,01496511505403;124,52089805596407;53,94669508069299
cerrada;4,3;Forzada-amortiguada4.3hz_7.csv;114,63819194339999;108,04395966378989;127,56449431327351;51,791696859528116
cerrada;4,3;Forzada-amortiguada4.3hz_8.csv;114,1309433034;112,60919739606267;127,56871096209424;46,9934853285383
cerrada;4,3;Forzada-amortiguada4.3hz_9.csv;121,23242421696003;113,1164460329819;130,8576762551404;45,97901991480143
cerrada;4,45;Forzada-amortiguada4.45hz_1.csv;141,73470633492;150,13380004815522;167,1855153536692;9,236736181239337
cerrada;4,45;Forzada-amortiguada4.45hz_2.csv;145,93425318288;148,0340266209083;163,257507666557;9,934425742939553
cerrada;4,45;Forzada-amortiguada4.45hz_3.csv;155,90817695880003;145,40930983684967;164,04923331605943;12,618281051909364
cerrada;4,45;Forzada-amortiguada4.45hz_4.csv;139,10998956696;146,98413990728486;164,58281682735583;11,132784931966135
cerrada;4,45;Forzada-amortiguada4.45hz_5.csv;143,83447977491997;147,50908326409657;165,3527206047094;11,150060749793177
cerrada;4,45;Forzada-amortiguada4.45hz_6.csv;147,50908326288;149,08391333304255;167,46136513209774;10,380066198354704
cerrada;4,45;Forzada-amortiguada4.45hz_7.csv;158,00795039879995;148,03402662090832;166,40264495149296;8,725766185544046
